Year,Quarter,State,Count,Amount,Average Transaction
2020,Q4,Karnataka,31747,26814968.0,844.6457303052257
2020,Q4,Chandigarh,200,153341.0,766.705
2020,Q4,Telangana,20961,11339099.0,540.9617384666763
2020,Q4,Himachal Pradesh,710,630966.0,888.6845070422535
2020,Q4,West Bengal,10233,7510455.0,733.9445910290237
2020,Q4,Gujarat,9990,6055037.0,606.1098098098098
2020,Q4,Sikkim,67,70214.0,1047.9701492537313
2020,Q4,Nagaland,62,38836.0,626.3870967741935
2020,Q4,Mizoram,81,119124.0,1470.6666666666667
2020,Q4,Chhattisgarh,3757,2249901.0,598.8557359595422
2020,Q4,Jammu & Kashmir,647,734861.0,1135.7975270479135
2020,Q4,Goa,614,682364.0,1111.342019543974
2020,Q4,Arunachal Pradesh,125,84247.0,673.976
2020,Q4,Delhi,9725,8045442.0,827.2948071979434
2020,Q4,Uttarakhand,1756,1961891.0,1117.25
2021,Q1,Puducherry,372,351827.0,945.7715053763441
2021,Q1,Tamil Nadu,14406,11180849.0,776.1244620297099
2021,Q1,Uttar Pradesh,24103,18027573.0,747.9389702526656
2021,Q1,Madhya Pradesh,14427,5567927.0,385.9379635405836
2021,Q1,Andhra Pradesh,22105,12749874.0,576.7868807962
2021,Q1,Tripura,360,191531.0,532.0305555555556
2021,Q1,Lakshadweep,4,5225.0,1306.25
2021,Q1,Manipur,136,72254.0,531.2794117647059
2021,Q1,Maharashtra,55792,33137753.0,593.9516955835962
2021,Q1,Dadra & Nagar Haveli & Daman & Diu,467,285691.0,611.7580299785867
2021,Q1,Meghalaya,107,128776.0,1203.5140186915887
2021,Q1,Andaman & Nicobar Islands,225,244266.0,1085.6266666666668
2021,Q1,Haryana,11038,7297880.0,661.1596303678202
2021,Q1,Rajasthan,17800,8074225.0,453.6081460674157
2021,Q1,Ladakh,32,34530.0,1079.0625
2021,Q1,Punjab,3783,2558380.0,676.283372984404
2021,Q1,Assam,3167,2334419.0,737.1073571203032
2021,Q1,Jharkhand,4879,3274851.0,671.2135683541709
2021,Q1,Odisha,8236,4383330.0,532.2158814958718
2021,Q1,Bihar,12554,8796619.0,700.702485263661
2021,Q1,Kerala,5731,5040506.0,879.5159658000349
2021,Q1,Karnataka,37595,30183325.0,802.8547679212661
2021,Q1,Chandigarh,338,238576.0,705.8461538461538
2021,Q1,Telangana,28298,14810947.0,523.3920065022263
2021,Q1,Himachal Pradesh,1064,906492.0,851.9661654135339
2021,Q1,West Bengal,15488,11172042.0,721.3353564049587
2021,Q1,Gujarat,12673,7288104.0,575.0890870354297
2021,Q1,Sikkim,122,111777.0,916.2049180327868
2021,Q1,Nagaland,79,42973.0,543.9620253164557
2021,Q1,Mizoram,415,302841.0,729.7373493975904
2021,Q1,Chhattisgarh,4712,2620468.0,556.1264855687606
2021,Q1,Jammu & Kashmir,1105,1546288.0,1399.3556561085973
2021,Q1,Goa,879,827384.0,941.2787258248009
2021,Q1,Arunachal Pradesh,194,131611.0,678.4072164948453
2021,Q1,Delhi,12822,9655261.0,753.0230073311496
2021,Q1,Uttarakhand,2607,2719327.0,1043.0866896816265
2021,Q2,Puducherry,526,508277.0,966.3060836501901
2021,Q2,Tamil Nadu,17682,16444344.0,930.0047505938243
2021,Q2,Uttar Pradesh,25952,25137571.0,968.6178714549939
2021,Q2,Madhya Pradesh,14803,9787391.0,661.1761805039519
2021,Q2,Andhra Pradesh,33205,22730687.0,684.5561511820509
2021,Q2,Tripura,381,409934.0,1075.9422572178478
2021,Q2,Lakshadweep,5,6962.0,1392.4
2021,Q2,Manipur,127,81332.0,640.4094488188977
2021,Q2,Maharashtra,70381,46763103.0,664.4279422003098
2021,Q2,Dadra & Nagar Haveli & Daman & Diu,368,275638.0,749.0163043478261
2021,Q2,Meghalaya,139,148434.0,1067.8705035971223
2021,Q2,Andaman & Nicobar Islands,137,181504.0,1324.846715328467
2021,Q2,Haryana,12516,11272453.0,900.6434164269734
2021,Q2,Rajasthan,18281,14357445.0,785.3752529949128
2021,Q2,Ladakh,46,86251.0,1875.0217391304348
2021,Q2,Punjab,4047,3768919.0,931.2871262663701
2021,Q2,Assam,3265,3008122.0,921.3237366003062
2021,Q2,Jharkhand,5180,5084230.0,981.511583011583
2021,Q2,Odisha,7942,5832924.0,734.4401913875598
2021,Q2,Bihar,14301,13301581.0,930.1154464722747
2021,Q2,Kerala,9530,9676588.0,1015.381741867786
2021,Q2,Karnataka,40969,39501006.0,964.1681759379043
2021,Q2,Chandigarh,378,310943.0,822.6005291005291
2021,Q2,Telangana,28870,20935651.0,725.1697609975753
2021,Q2,Himachal Pradesh,1210,1402338.0,1158.9570247933884
2021,Q2,West Bengal,15200,12396029.0,815.5282236842105
2021,Q2,Gujarat,14676,10263998.0,699.3729899155084
2021,Q2,Sikkim,93,122064.0,1312.516129032258
2021,Q2,Nagaland,85,139479.0,1640.929411764706
2021,Q2,Mizoram,187,124805.0,667.4064171122994
2021,Q2,Chhattisgarh,5055,3813417.0,754.3851632047478
2021,Q2,Jammu & Kashmir,1197,1832089.0,1530.5672514619882
2021,Q2,Goa,1016,1028339.0,1012.1446850393701
2021,Q2,Arunachal Pradesh,204,224928.0,1102.5882352941176
2021,Q2,Delhi,13292,10840929.0,815.5980288895577
2021,Q2,Uttarakhand,2742,3265717.0,1190.9981765134937
2021,Q3,Puducherry,561,556442.0,991.8752228163993
2021,Q3,Tamil Nadu,23107,23402918.0,1012.8064222962738
2021,Q3,Uttar Pradesh,32799,32641118.0,995.1863776334644
2021,Q3,Madhya Pradesh,11990,7806258.0,651.0640533778148
2021,Q3,Andhra Pradesh,23075,19914338.0,863.0265655471289
2021,Q3,Tripura,494,649961.0,1315.7105263157894
2021,Q3,Lakshadweep,19,16034.0,843.8947368421053
2021,Q3,Manipur,111,133016.0,1198.3423423423424
2021,Q3,Maharashtra,52268,41313307.0,790.4130060457642
2021,Q3,Dadra & Nagar Haveli & Daman & Diu,360,273596.0,759.9888888888889
2021,Q3,Meghalaya,139,214554.0,1543.5539568345323
2021,Q3,Andaman & Nicobar Islands,230,305235.0,1327.108695652174
2021,Q3,Haryana,14163,13215898.0,933.1284332415448
2021,Q3,Rajasthan,16643,12793862.0,768.7233070960764
2021,Q3,Ladakh,192,174052.0,906.5208333333334
2021,Q3,Punjab,4887,5271559.0,1078.6901984857786
2021,Q3,Assam,4495,6010865.0,1337.233592880979
2021,Q3,Jharkhand,6794,7046048.0,1037.0986164262586
2021,Q3,Odisha,7967,6008686.0,754.1968118488766
2021,Q3,Bihar,18030,18234941.0,1011.3666666666667
2021,Q3,Kerala,10926,13255646.0,1213.2203917261577
2021,Q3,Karnataka,47468,48078366.0,1012.858473076599
2021,Q3,Chandigarh,494,469634.0,950.6761133603239
2021,Q3,Telangana,27080,20925217.0,772.7185007385524
2021,Q3,Himachal Pradesh,1759,2444545.0,1389.7356452529846
2021,Q3,West Bengal,24839,21424337.0,862.5281613591529
2021,Q3,Gujarat,15348,12341903.0,804.1375423507949
2021,Q3,Sikkim,106,140552.0,1325.9622641509434
2021,Q3,Nagaland,91,123643.0,1358.7142857142858
2021,Q3,Mizoram,81,83641.0,1032.6049382716049
2021,Q3,Chhattisgarh,4676,3568837.0,763.2243370402053
2021,Q3,Jammu & Kashmir,1452,2139133.0,1473.2320936639119
2021,Q3,Goa,1214,1385986.0,1141.668863261944
2021,Q3,Arunachal Pradesh,212,371051.0,1750.2405660377358
2021,Q3,Delhi,16679,15007079.0,899.7589184003837
2021,Q3,Uttarakhand,4111,4646571.0,1130.277548041839
2021,Q4,Puducherry,786,946607.0,1204.3346055979644
2021,Q4,Tamil Nadu,33037,42184290.0,1276.8801646638617
2021,Q4,Uttar Pradesh,44132,59654951.0,1351.7391235384755
2021,Q4,Madhya Pradesh,15069,17524432.0,1162.9459154555711
2021,Q4,Andhra Pradesh,25423,31610335.0,1243.3754867639539
2021,Q4,Tripura,702,1022508.0,1456.5641025641025
