State,District,Year,Quarter,Count,Amount,Average Transaction
Andhra Pradesh,Srikakulam,2023,Q4,56291337,97021746702.0,1723.5644394447409
Andhra Pradesh,Spsr Nellore,2023,Q4,97721962,179306028468.0,1834.8590715769706
Andhra Pradesh,Vizianagaram,2023,Q4,53248760,90289502507.0,1695.6169966587015
Andhra Pradesh,Visakhapatnam,2023,Q4,223584765,344512874812.0,1540.8602406876873
Andhra Pradesh,Prakasam,2023,Q4,89721677,174929737360.0,1949.6931311259373
Andhra Pradesh,Anantapur,2023,Q4,113698752,203367177888.0,1788.649165542292
Andhra Pradesh,Ysr,2023,Q4,83729195,176644897379.0,2109.716895988311
Andhra Pradesh,West Godavari,2023,Q4,114825704,209237892746.0,1822.2217278633013
Andhra Pradesh,Kurnool,2023,Q4,103816175,190597527675.0,1835.9136008911905
Andhra Pradesh,Chittoor,2023,Q4,163521593,274132458092.0,1676.4297183186077
Andhra Pradesh,Guntur,2023,Q4,160724947,281806839570.0,1753.3484678641705
Andhra Pradesh,Krishna,2023,Q4,173309415,298339038877.0,1721.4243027535463
Arunachal Pradesh,Lower Dibang Valley,2018,Q1,1356,1076236.814073793,793.6849661311157
Arunachal Pradesh,Lower Subansiri,2018,Q1,1477,3650727.893614269,2471.718275974454
Arunachal Pradesh,Longding,2018,Q1,2321,4361531.578447229,1879.1605249664926
Arunachal Pradesh,West Siang,2018,Q1,1887,4796675.565399804,2541.9584342341304
Arunachal Pradesh,Kamle,2018,Q1,14,7971.330494807651,569.380749629118
Arunachal Pradesh,Upper Siang,2018,Q1,126,186610.66988095018,1481.0370625472237
Arunachal Pradesh,Tirap,2018,Q1,945,1064265.0002443574,1126.2063494649285
Arunachal Pradesh,Papum Pare,2018,Q1,14224,32555848.462331478,2288.796995383259
Arunachal Pradesh,Kurung Kumey,2018,Q1,84,99416.58027150274,1183.5307175178898
Arunachal Pradesh,Siang,2018,Q1,252,339471.80434222345,1347.1103346913628
Arunachal Pradesh,Lower Siang,2018,Q1,1292,2337960.7148240386,1809.5671167368719
Arunachal Pradesh,Kra Daadi,2018,Q1,207,495375.1454853307,2393.11664485667
Arunachal Pradesh,Changlang,2018,Q1,3195,5380749.415278763,1684.11562293545
Arunachal Pradesh,Pakke Kessang,2018,Q1,9,9131.404205737199,1014.6004673041332
Arunachal Pradesh,Dibang Valley,2018,Q1,2,169.88856537681642,84.94428268840821
Arunachal Pradesh,West Kameng,2018,Q1,5787,9540632.547015157,1648.6318553680935
Arunachal Pradesh,East Siang,2018,Q1,3286,5533620.186295529,1683.998839408256
Arunachal Pradesh,Upper Subansiri,2018,Q1,735,1358367.5018580484,1848.1190501470046
Arunachal Pradesh,East Kameng,2018,Q1,529,473824.76595106337,895.6989904556964
Arunachal Pradesh,Lohit,2018,Q1,3747,11496949.54576835,3068.3078584916866
Arunachal Pradesh,Lepa Rada,2018,Q1,288,403149.46702687367,1399.8245382877558
Arunachal Pradesh,Tawang,2018,Q1,2334,5055665.022950603,2166.0946970653827
Arunachal Pradesh,Namsai,2018,Q1,1400,2162984.705083958,1544.98907505997
Arunachal Pradesh,Lower Dibang Valley,2018,Q2,1827,2561237.506207262,1401.8815031238435
Arunachal Pradesh,Lower Subansiri,2018,Q2,1666,4113742.04406352,2469.2329196059545
Arunachal Pradesh,Longding,2018,Q2,4634,10271170.165521314,2216.4803982566496
Arunachal Pradesh,West Siang,2018,Q2,2579,7610989.567485569,2951.139809028914
Arunachal Pradesh,Kamle,2018,Q2,12,23654.058373191845,1971.1715310993204
Arunachal Pradesh,Upper Siang,2018,Q2,240,494895.09277159756,2062.062886548323
Arunachal Pradesh,Tirap,2018,Q2,1903,3126393.7649546335,1642.8763872593975
Arunachal Pradesh,Papum Pare,2018,Q2,25363,66520931.20355793,2622.7548477529444
Arunachal Pradesh,Kurung Kumey,2018,Q2,83,123737.2220411206,1490.809904109887
Arunachal Pradesh,Anjaw,2018,Q2,7,7871.020814692305,1124.4315449560436
Arunachal Pradesh,Siang,2018,Q2,336,740232.6309634304,2203.073306438781
Arunachal Pradesh,Lower Siang,2018,Q2,2292,2179451.657976534,950.8951387332173
Arunachal Pradesh,Kra Daadi,2018,Q2,247,987135.9959717204,3996.5020079826736
Arunachal Pradesh,Changlang,2018,Q2,6066,13294258.50337311,2191.6021271633876
Arunachal Pradesh,Pakke Kessang,2018,Q2,48,58359.57138935899,1215.824403944979
Arunachal Pradesh,Dibang Valley,2018,Q2,68,65769.2036735354,967.1941716696383
Arunachal Pradesh,West Kameng,2018,Q2,10466,25521321.34140157,2438.49812167032
Arunachal Pradesh,East Siang,2018,Q2,6363,15285584.202916935,2402.2606008041703
Arunachal Pradesh,Upper Subansiri,2018,Q2,1285,2911910.3689207276,2266.0781081095156
Arunachal Pradesh,East Kameng,2018,Q2,522,1825297.4617279815,3496.7384324290833
Arunachal Pradesh,Lohit,2018,Q2,6962,20520618.881890118,2947.5177940089225
Arunachal Pradesh,Lepa Rada,2018,Q2,511,731444.7370576829,1431.3987026569139
Arunachal Pradesh,Tawang,2018,Q2,5447,13722374.811357912,2519.253683010448
Arunachal Pradesh,Namsai,2018,Q2,3230,6271811.327635023,1941.737253137778
Arunachal Pradesh,Lower Dibang Valley,2018,Q3,2824,6074558.207066888,2151.047523748898
Arunachal Pradesh,Lower Subansiri,2018,Q3,2346,5154231.737357968,2197.0297260690404
Arunachal Pradesh,Longding,2018,Q3,5288,18327334.050755527,3465.834729719275
Arunachal Pradesh,West Siang,2018,Q3,3337,12966152.792519316,3885.571708876031
Arunachal Pradesh,Kamle,2018,Q3,93,30504.94301319112,328.0101399267862
Arunachal Pradesh,Upper Siang,2018,Q3,250,743956.1055720671,2975.824422288268
Arunachal Pradesh,Tirap,2018,Q3,3322,7479257.007852319,2251.4319710572904
Arunachal Pradesh,Papum Pare,2018,Q3,43282,101080479.2917223,2335.3929876558914
Arunachal Pradesh,Kurung Kumey,2018,Q3,255,303027.4066451341,1188.3427711573886
Arunachal Pradesh,Anjaw,2018,Q3,13,95403.67678261214,7338.744367893241
Arunachal Pradesh,Siang,2018,Q3,615,2141734.499956036,3482.4951218797332
Arunachal Pradesh,Lower Siang,2018,Q3,2625,3045590.882295873,1160.2250980174754
Arunachal Pradesh,Kra Daadi,2018,Q3,436,1606758.4080739785,3685.225706591694
Arunachal Pradesh,Changlang,2018,Q3,10162,20494174.949715402,2016.7462064274162
Arunachal Pradesh,Pakke Kessang,2018,Q3,165,305164.81707575504,1849.4837398530608
