Year,Quarter,State,District,Registered Users,App Opens,Average Opens
2018,Q2,Arunachal Pradesh,Lepa Rada,318,0,0.0
2018,Q2,Arunachal Pradesh,Lower Dibang Valley,893,0,0.0
2018,Q2,Arunachal Pradesh,Longding,412,0,0.0
2018,Q2,Arunachal Pradesh,West Siang,1224,0,0.0
2018,Q2,Arunachal Pradesh,Kamle,37,0,0.0
2018,Q2,Arunachal Pradesh,Upper Siang,481,0,0.0
2018,Q2,Arunachal Pradesh,Kurung Kumey,153,0,0.0
2018,Q2,Arunachal Pradesh,Siang,293,0,0.0
2018,Q2,Arunachal Pradesh,Kra Daadi,144,0,0.0
2018,Q2,Arunachal Pradesh,Changlang,2014,0,0.0
2018,Q2,Arunachal Pradesh,Pakke Kessang,66,0,0.0
2018,Q2,Arunachal Pradesh,East Siang,2646,0,0.0
2018,Q2,Arunachal Pradesh,Upper Subansiri,883,0,0.0
2018,Q2,Arunachal Pradesh,Tawang,2266,0,0.0
2018,Q2,Arunachal Pradesh,Namsai,1276,0,0.0
2018,Q3,Arunachal Pradesh,Lower Subansiri,1033,0,0.0
2018,Q3,Arunachal Pradesh,Tirap,1226,0,0.0
2018,Q3,Arunachal Pradesh,Papum Pare,16009,0,0.0
2018,Q3,Arunachal Pradesh,Anjaw,542,0,0.0
2018,Q3,Arunachal Pradesh,Lower Siang,717,0,0.0
2018,Q3,Arunachal Pradesh,Dibang Valley,145,0,0.0
2018,Q3,Arunachal Pradesh,West Kameng,4765,0,0.0
2018,Q3,Arunachal Pradesh,Shi Yomi,118,0,0.0
2018,Q3,Arunachal Pradesh,East Kameng,521,0,0.0
2018,Q3,Arunachal Pradesh,Lohit,2612,0,0.0
2018,Q3,Arunachal Pradesh,Lepa Rada,431,0,0.0
2018,Q3,Arunachal Pradesh,Lower Dibang Valley,1286,0,0.0
2018,Q3,Arunachal Pradesh,Longding,644,0,0.0
2018,Q3,Arunachal Pradesh,West Siang,1652,0,0.0
2018,Q3,Arunachal Pradesh,Kamle,65,0,0.0
2018,Q3,Arunachal Pradesh,Upper Siang,646,0,0.0
2018,Q3,Arunachal Pradesh,Kurung Kumey,222,0,0.0
2018,Q3,Arunachal Pradesh,Siang,373,0,0.0
2018,Q3,Arunachal Pradesh,Kra Daadi,190,0,0.0
2018,Q3,Arunachal Pradesh,Changlang,2889,0,0.0
2018,Q3,Arunachal Pradesh,Pakke Kessang,103,0,0.0
2018,Q3,Arunachal Pradesh,East Siang,3590,0,0.0
2018,Q3,Arunachal Pradesh,Upper Subansiri,1169,0,0.0
2018,Q3,Arunachal Pradesh,Tawang,3112,0,0.0
2018,Q3,Arunachal Pradesh,Namsai,1862,0,0.0
2018,Q4,Arunachal Pradesh,Lower Subansiri,1459,0,0.0
2018,Q4,Arunachal Pradesh,Tirap,1684,0,0.0
2018,Q4,Arunachal Pradesh,Papum Pare,21342,0,0.0
2018,Q4,Arunachal Pradesh,Anjaw,744,0,0.0
2018,Q4,Arunachal Pradesh,Lower Siang,936,0,0.0
2018,Q4,Arunachal Pradesh,Dibang Valley,178,0,0.0
