Year,Quarter,State,Count,Amount,Average Transaction
2018,Q3,Manipur,189258,383331244.79412293,2025.4427543042987
2018,Q3,Maharashtra,31538538,52260817733.24835,1657.0463010444032
2018,Q3,Dadra & Nagar Haveli & Daman & Diu,289575,447639595.67817545,1545.8502829255822
2018,Q3,Meghalaya,110290,209853661.53439403,1902.744233696564
2018,Q3,Andaman & Nicobar Islands,16265,55557471.13431113,3415.768283695735
2018,Q3,Haryana,8262024,16375139007.627964,1981.9766933172748
2018,Q3,Rajasthan,14257098,24040768671.212967,1686.231564881785
2018,Q3,Ladakh,24864,84090977.14484604,3382.0373690816455
2018,Q3,Punjab,3462108,7065687043.821184,2040.8626893849598
2018,Q3,Assam,2351851,3811134989.9142647,1620.483181083438
2018,Q3,Jharkhand,8122621,8661571417.704563,1066.351786905306
2018,Q3,Odisha,30052155,23094515775.585766,768.4811879742323
2018,Q3,Bihar,14367804,20135804378.90174,1401.4531642345441
2018,Q3,Kerala,3134348,5323025223.875498,1698.2878812038414
2018,Q3,Karnataka,25980261,48225091755.80772,1856.2204496639858
2018,Q3,Chandigarh,616936,1369354447.5343118,2219.605352150485
2018,Q3,Telangana,19332703,32030093209.72354,1656.7829759616925
2018,Q3,Himachal Pradesh,886754,1754041432.858025,1978.0473872776724
2018,Q3,West Bengal,53705416,41843934183.177635,779.1380702307126
2018,Q3,Gujarat,11334149,17866404426.27552,1576.3339996920386
2018,Q3,Sikkim,108500,235080226.95331776,2166.6380364361085
2018,Q3,Nagaland,94371,241792742.9366532,2562.1509037379406
2018,Q3,Mizoram,39316,116600738.12539022,2965.732478517403
2018,Q3,Chhattisgarh,3859604,6302307073.446348,1632.8895589926708
2018,Q3,Jammu & Kashmir,2303961,3934700999.457677,1707.7984390611111
2018,Q3,Goa,339511,713166969.2382338,2100.5710249100434
2018,Q3,Arunachal Pradesh,131146,331726406.7413912,2529.443572365083
2018,Q3,Delhi,18547048,27375846860.618515,1476.0217831224957
2018,Q3,Uttarakhand,2229132,3726573039.8585143,1671.759698330343
2018,Q4,Puducherry,307964,625691665.4234949,2031.7039180667057
2018,Q4,Tamil Nadu,22457444,43302073975.890976,1928.183544658554
2018,Q4,Uttar Pradesh,36100767,55096743575.91497,1526.1931575003648
2018,Q4,Madhya Pradesh,21397555,33905608072.964783,1584.5552481563798
2018,Q4,Andhra Pradesh,30759548,51473779406.840416,1673.4244406595446
2018,Q4,Tripura,448059,624885599.4644469,1394.6502569180552
2018,Q4,Lakshadweep,1642,4463213.698222831,2718.1569416704206
2018,Q4,Manipur,236110,605683559.3060112,2565.2600876964602
2018,Q4,Maharashtra,46090223,79518937047.82959,1725.2886159355226
2018,Q4,Dadra & Nagar Haveli & Daman & Diu,404082,658750616.8008878,1630.2399433800265
2018,Q4,Meghalaya,161132,337585679.00467324,2095.087747962374
2018,Q4,Andaman & Nicobar Islands,23758,90548336.07445517,3811.2777201134427
2018,Q4,Haryana,12950183,25390876016.455025,1960.6577000846262
2018,Q4,Rajasthan,20959723,37909087083.33885,1808.663553585076
2018,Q4,Ladakh,35211,135522842.49263746,3848.8779782635384
2018,Q4,Punjab,4887137,10781982573.649624,2206.196096743272
2018,Q4,Assam,3734172,5888022859.01307,1576.7947644117812
2018,Q4,Jharkhand,6284043,10241916641.12223,1629.8291786230984
2018,Q4,Odisha,21142798,23429869571.55922,1108.1726066511735
2018,Q4,Bihar,15732401,28397997168.57623,1805.0644125188667
2018,Q4,Kerala,4310654,7747361236.812299,1797.2588931545652
2018,Q4,Karnataka,44812071,73008386576.05942,1629.2125078543997
2018,Q4,Chandigarh,905116,2032591591.779975,2245.669717229587
2018,Q4,Telangana,28921154,49509088448.04927,1711.8642101227797
2018,Q4,Himachal Pradesh,1307883,2621298968.1392584,2004.2304763799655
2018,Q4,West Bengal,36513548,40489619211.70402,1108.8930391454705
2018,Q4,Gujarat,14733303,24830987102.78186,1685.3645854416936
2018,Q4,Sikkim,154533,383141358.07825375,2479.3497704584374
2018,Q4,Nagaland,139333,388013467.5456239,2784.7923144238903
2018,Q4,Mizoram,55242,190426852.52952954,3447.1389980364493
2018,Q4,Chhattisgarh,5365844,9416412664.971258,1754.8800645287597
2018,Q4,Jammu & Kashmir,2721310,5664720265.697432,2081.615202125973
2018,Q4,Goa,514755,1153005078.9224057,2239.91040188518
2018,Q4,Arunachal Pradesh,176429,504040029.0917605,2856.9001076453446
2018,Q4,Delhi,29187719,39722857618.706436,1360.94422516218
2018,Q4,Uttarakhand,3178761,5654272137.963844,1778.7660468855142
