State,District,Year,Quarter,Count,Amount,Average Transaction
Andhra Pradesh,Anantapur,2020,Q4,1534,794053.0,517.6355932203389
Andhra Pradesh,Ysr,2020,Q4,1165,631876.0,542.3828326180258
Andhra Pradesh,West Godavari,2020,Q4,1390,906282.0,652.0014388489209
Andhra Pradesh,Kurnool,2020,Q4,1092,500768.0,458.57875457875457
Andhra Pradesh,Chittoor,2020,Q4,1727,1168506.0,676.6103068905617
Andhra Pradesh,Guntur,2020,Q4,2570,1620649.0,630.6027237354085
Andhra Pradesh,Krishna,2020,Q4,2311,1222782.0,529.1138035482475
Andhra Pradesh,East Godavari,2021,Q1,1937,1065604.0,550.1311306143521
Andhra Pradesh,Srikakulam,2021,Q1,854,588769.0,689.4250585480094
Andhra Pradesh,Spsr Nellore,2021,Q1,1323,714947.0,540.3983371126228
Andhra Pradesh,Vizianagaram,2021,Q1,781,526804.0,674.5249679897568
Andhra Pradesh,Visakhapatnam,2021,Q1,4006,2403199.0,599.8999001497754
Andhra Pradesh,Prakasam,2021,Q1,1182,585354.0,495.2233502538071
Andhra Pradesh,Anantapur,2021,Q1,1264,621128.0,491.3987341772152
Andhra Pradesh,Ysr,2021,Q1,1265,729565.0,576.7312252964427
Andhra Pradesh,West Godavari,2021,Q1,1460,850251.0,582.363698630137
Andhra Pradesh,Kurnool,2021,Q1,1270,508161.0,400.1267716535433
Andhra Pradesh,Chittoor,2021,Q1,1629,1058050.0,649.5089011663597
Andhra Pradesh,Guntur,2021,Q1,2412,1398326.0,579.7371475953565
Andhra Pradesh,Krishna,2021,Q1,2722,1699716.0,624.4364437913299
Andhra Pradesh,East Godavari,2021,Q2,2343,1695121.0,723.4831412718737
Andhra Pradesh,Srikakulam,2021,Q2,842,755796.0,897.6199524940617
Andhra Pradesh,Spsr Nellore,2021,Q2,1817,1245872.0,685.6752889378096
Andhra Pradesh,Vizianagaram,2021,Q2,815,702006.0,861.3570552147239
Andhra Pradesh,Visakhapatnam,2021,Q2,4655,3497573.0,751.3583243823846
Andhra Pradesh,Prakasam,2021,Q2,5308,2719134.0,512.2709118311982
Andhra Pradesh,Anantapur,2021,Q2,1631,1284850.0,787.7682403433477
Andhra Pradesh,Ysr,2021,Q2,1404,1026195.0,730.9081196581196
Andhra Pradesh,West Godavari,2021,Q2,4170,2327122.0,558.062829736211
Andhra Pradesh,Kurnool,2021,Q2,1410,941389.0,667.6517730496454
Andhra Pradesh,Chittoor,2021,Q2,2392,1839579.0,769.0547658862877
Andhra Pradesh,Guntur,2021,Q2,2967,2201793.0,742.0940343781598
Andhra Pradesh,Krishna,2021,Q2,3451,2494257.0,722.7635467980296
Andhra Pradesh,East Godavari,2021,Q3,2248,2073825.0,922.5200177935943
Andhra Pradesh,Srikakulam,2021,Q3,798,803258.0,1006.5889724310777
Andhra Pradesh,Spsr Nellore,2021,Q3,1486,1161025.0,781.3088829071332
Andhra Pradesh,Vizianagaram,2021,Q3,736,628946.0,854.5461956521739
Andhra Pradesh,Visakhapatnam,2021,Q3,4044,3191769.0,789.2603857566766
