Year,Quarter,Name,Count,Amount,Average Transaction
2020,Q3,Peer-to-peer payments,916790263,3287051873253.504,3585.391344032527
2020,Q3,Merchant payments,672019839,405291207894.2984,603.0941117711533
2020,Q3,Recharge & bill payments,436172619,204262355709.72183,468.3062320097673
2020,Q3,Financial Services,2531978,2673063432.9600067,1055.7214292383294
2020,Q3,Others,5541374,2789907563.6502213,503.46855556947094
2020,Q4,Peer-to-peer payments,1249512647,4474548495095.518,3581.03497858835
2020,Q4,Merchant payments,1127490136,684873639322.252,607.4320452611498
2020,Q4,Recharge & bill payments,479784084,227875840842.1121,474.9549817123823
2020,Q4,Financial Services,2942567,3259168195.749941,1107.5935384818565
2020,Q4,Others,9556404,5323095366.309718,557.0186616545008
2021,Q1,Merchant payments,1467948823,844466633896.8679,575.2698055038857
2021,Q1,Peer-to-peer payments,1447600942,5170856441552.582,3572.017875595291
2021,Q1,Recharge & bill payments,530118545,260182440730.4327,490.8004882765094
2021,Q1,Financial Services,3075296,3573884778.5300817,1162.127085825261
2021,Q1,Others,8851525,5199901891.8900385,587.4583071154449
2021,Q2,Peer-to-peer payments,1744272888,6163165772736.494,3533.372452863863
2021,Q2,Merchant payments,1499626469,1003530942287.5988,669.1872696517461
2021,Q2,Recharge & bill payments,685024821,300559461295.9022,438.7570378211189
2021,Q2,Financial Services,3397384,3651996523.4499955,1074.9436988724253
2021,Q2,Others,9061732,5598131364.820071,617.7771936777727
2021,Q3,Merchant payments,2316924871,1426965558783.5557,615.8877124779915
2021,Q3,Peer-to-peer payments,2215575286,7429357587018.912,3353.240864331844
2021,Q3,Recharge & bill payments,714583744,349234592690.4992,488.7245135686983
2021,Q3,Financial Services,3112160,4043342762.3300233,1299.2078692387356
2021,Q3,Others,13558464,7146868847.2897215,527.1149333205975
2021,Q4,Merchant payments,3152394530,1995855822160.6426,633.1237423383812
2021,Q4,Peer-to-peer payments,2716561423,9203910371491.78,3388.0737220097744
2021,Q4,Recharge & bill payments,738096162,407266894783.10693,551.7802635357789
2021,Q4,Financial Services,4141629,5028434834.240034,1214.120056200117
2021,Q4,Others,14562602,9296993478.869577,638.4156814056703
2022,Q1,Merchant payments,3748851071,2272818129376.5205,606.2705843287207
2022,Q1,Peer-to-peer payments,3074250150,10505936803336.926,3417.398159137091
2022,Q1,Recharge & bill payments,749674246,447599848131.41187,597.0591233721158
2022,Q1,Financial Services,4035100,4921211866.489969,1219.6009681271764
2022,Q1,Others,16393502,8422766458.459174,513.7868930298831
2022,Q2,Merchant payments,4765203787,2847096877386.341,597.4764154165944
2022,Q2,Peer-to-peer payments,3506141323,12123524700463.535,3457.7969293291762
2022,Q2,Recharge & bill payments,845751926,523046092987.93964,618.4391390767458
2022,Q2,Financial Services,3272822,3889787479.819907,1188.5117735764143
2022,Q2,Others,11241480,6711034131.16017,596.988486494676
2022,Q3,Merchant payments,5618132071,3151614767860.314,560.9719971035395
2022,Q3,Peer-to-peer payments,3957113406,12837803371386.29,3244.234383558703
2022,Q3,Recharge & bill payments,956164949,607048699730.3645,634.8786371695
2022,Q3,Financial Services,3959631,4514223164.469998,1140.0615775737685
2022,Q3,Others,10005043,6725900102.770244,672.2509941006994
2022,Q4,Merchant payments,6565690145,3673601044800.037,559.5148360142476
2022,Q4,Peer-to-peer payments,4459859921,14578874324207.227,3268.9085716706363
2022,Q4,Recharge & bill payments,991049281,649776847580.25,655.6453448254406
2022,Q4,Financial Services,4623387,5360528394.309982,1159.437528009224
2022,Q4,Others,10013085,7361492606.590162,735.1872681186829
2023,Q1,Merchant payments,7205999708,3745994748195.0,519.8438662211225
2023,Q1,Peer-to-peer payments,4792478560,15924876501456.0,3322.889461493178
2023,Q1,Recharge & bill payments,1076952638,829952832616.0,770.6493334352183
2023,Q1,Financial Services,4884759,5673343900.0,1161.4378314262792
2023,Q1,Others,10259195,7571900579.0,738.0599139601109
2023,Q2,Merchant payments,8529595637,4277821161887.0,501.52684182712096
2023,Q2,Peer-to-peer payments,5374546962,17722778868673.0,3297.5391217119295
2023,Q2,Recharge & bill payments,1190947064,904758857308.0,759.696954345907
2023,Q2,Financial Services,5195942,6364033676.0,1224.8084516724782
2023,Q2,Others,9341245,6919677602.0,740.7660972386443
2023,Q3,Merchant payments,9868299757,4686944326058.0,474.9495294499291
2023,Q3,Peer-to-peer payments,5929662466,18342686827713.0,3093.377900156687
2023,Q3,Recharge & bill payments,1229068434,967694654180.0,787.339929503063
2023,Q3,Financial Services,6273522,8553479441.0,1363.425431679366
2023,Q3,Others,8491944,6397985054.0,753.4181871665663
2023,Q4,Merchant payments,11107996161,5419672580085.0,487.9073148326595
2023,Q4,Peer-to-peer payments,6643982862,20533815852133.0,3090.588323093871
2023,Q4,Recharge & bill payments,1247192050,1077506924551.0,863.9462739928466
2023,Q4,Financial Services,7517384,9998159518.0,1330.005161103916
2023,Q4,Others,8651416,6391200449.0,738.7461716093643
