Year,Quarter,State,District,Count,Amount,Average Transaction
2022,Q2,Bihar,Samastipur District,866,1140296.0,1316.7390300230948
2022,Q2,Bihar,Saran District,831,1134410.0,1365.1143200962695
2022,Q2,Bihar,Darbhanga District,823,901618.0,1095.5261239368165
2022,Q2,Bihar,Bhagalpur District,806,1158286.0,1437.0794044665013
2022,Q2,Bihar,Gaya District,781,1127943.0,1444.2291933418694
2022,Q2,Bihar,Begusarai District,734,980380.0,1335.6675749318802
2022,Q3,Bihar,Patna District,6711,7663832.0,1141.980628818358
2022,Q3,Bihar,Muzaffarpur District,1848,2047804.0,1108.1190476190477
2022,Q3,Bihar,Vaishali District,1495,1738699.0,1163.009364548495
2022,Q3,Bihar,Gaya District,1052,1275154.0,1212.1235741444866
2022,Q3,Bihar,Samastipur District,1037,1446763.0,1395.1427193828351
2022,Q3,Bihar,Bhagalpur District,1030,1287137.0,1249.647572815534
2022,Q3,Bihar,Saran District,1013,1475793.0,1456.8538993089833
2022,Q3,Bihar,Begusarai District,1010,1185869.0,1174.1277227722771
2022,Q3,Bihar,Darbhanga District,978,1175895.0,1202.346625766871
2022,Q3,Bihar,Nalanda District,802,1007554.0,1256.3017456359103
2022,Q4,Bihar,Patna District,7741,8886520.0,1147.9808810231236
2022,Q4,Bihar,Muzaffarpur District,2305,2622512.0,1137.7492407809111
2022,Q4,Bihar,Vaishali District,1553,1950312.0,1255.835157759176
2022,Q4,Bihar,Samastipur District,1371,1741058.0,1269.9183078045223
2022,Q4,Bihar,Bhagalpur District,1277,1839829.0,1440.7431480031323
2022,Q4,Bihar,Saran District,1260,1760294.0,1397.0587301587302
2022,Q4,Bihar,Darbhanga District,1183,1530684.0,1293.9002535925613
2022,Q4,Bihar,Gaya District,1156,1515312.0,1310.8235294117646
2022,Q4,Bihar,Begusarai District,1065,1313395.0,1233.2347417840376
2022,Q4,Bihar,Nalanda District,944,1190812.0,1261.4533898305085
2023,Q1,Bihar,Patna District,6401,7935610.0,1239.745352288705
2023,Q1,Bihar,Muzaffarpur District,1775,2423353.0,1365.2692957746478
2023,Q1,Bihar,Vaishali District,1280,1787246.0,1396.2859375
2023,Q1,Bihar,Samastipur District,1034,1410643.0,1364.2582205029014
2023,Q1,Bihar,Bhagalpur District,1004,1450332.0,1444.5537848605577
2023,Q1,Bihar,Begusarai District,981,1487117.0,1515.9194699286443
2023,Q1,Bihar,Saran District,934,1574069.0,1685.2987152034261
2023,Q1,Bihar,Gaya District,895,1335109.0,1491.7418994413408
2023,Q1,Bihar,Darbhanga District,881,1157743.0,1314.1237230419977
2023,Q1,Bihar,Madhubani District,811,1255509.0,1548.0998766954378
2023,Q2,Bihar,Patna District,7312,9370034.0,1281.4597921225384
2023,Q2,Bihar,Muzaffarpur District,2490,2986441.0,1199.3738955823294
2023,Q2,Bihar,Vaishali District,1300,1679995.0,1292.303846153846
