Year,Quarter,State,Pincode,Count,Amount,Average Transaction
2019,Q4,Andaman & Nicobar Islands,744202,1783,5800016.5561128855,3252.953761140149
2019,Q4,Andaman & Nicobar Islands,744211,1596,7908264.721918669,4955.053083908941
2019,Q4,Andaman & Nicobar Islands,744301,1549,7056478.928838715,4555.50608704888
2019,Q4,Andaman & Nicobar Islands,744201,886,946768.0636478986,1068.5869792865674
2019,Q4,Andaman & Nicobar Islands,744107,777,3030368.911900454,3900.0886897045743
2020,Q1,Andaman & Nicobar Islands,744101,11793,58229349.02415232,4937.619691694423
2020,Q1,Andaman & Nicobar Islands,744103,5870,22009443.073053975,3749.479228799655
2020,Q1,Andaman & Nicobar Islands,744105,4635,16774043.311987936,3618.9953208172465
2020,Q1,Andaman & Nicobar Islands,744102,3820,14517706.12269676,3800.446628978209
2020,Q1,Andaman & Nicobar Islands,744211,1837,8425387.79004211,4586.49308113343
2020,Q1,Andaman & Nicobar Islands,744301,1819,6901162.107519586,3793.9318897853686
2020,Q1,Andaman & Nicobar Islands,744202,1794,5037742.395579022,2808.1061290852967
2020,Q1,Andaman & Nicobar Islands,744104,1302,5293130.290633954,4065.384247798736
2020,Q1,Andaman & Nicobar Islands,744201,1157,1242638.821252932,1074.0179958970891
2020,Q1,Andaman & Nicobar Islands,744107,1043,2990354.4448547475,2867.070416926891
2020,Q2,Andaman & Nicobar Islands,744101,11868,48293323.21851964,4069.2048549477286
2020,Q2,Andaman & Nicobar Islands,744103,10035,26197535.98945152,2610.616441400251
2020,Q2,Andaman & Nicobar Islands,744105,9341,23203019.858980607,2483.99741558512
2020,Q2,Andaman & Nicobar Islands,744102,6012,17786750.907515876,2958.5414017824146
2020,Q2,Andaman & Nicobar Islands,744202,3722,8924121.010762567,2397.668192037229
2020,Q2,Andaman & Nicobar Islands,744107,2555,3980470.6853698147,1557.914162571356
2020,Q2,Andaman & Nicobar Islands,744301,2275,9055232.527755566,3980.3219902222268
2020,Q2,Andaman & Nicobar Islands,744211,2045,3319717.6328789736,1623.333805808789
2020,Q2,Andaman & Nicobar Islands,744205,1847,4459064.90732021,2414.2203071576664
2020,Q2,Andaman & Nicobar Islands,744104,1840,3334591.822304932,1812.2781642961586
2020,Q3,Andaman & Nicobar Islands,744101,24386,100439119.66860783,4118.720563791021
