Year,Quarter,State,Pincode,Count,Amount,Average Transaction
2020,Q2,Assam,781022,36,6530.0,181.38888888888889
2020,Q2,Assam,781038,36,6424.0,178.44444444444446
2020,Q2,Assam,781032,30,5864.0,195.46666666666667
2020,Q2,Assam,781006,23,3630.0,157.82608695652175
2020,Q2,Assam,781018,20,3512.0,175.6
2020,Q2,Assam,781001,20,3646.0,182.3
2020,Q2,Assam,781005,19,3763.0,198.05263157894737
2020,Q2,Assam,783380,17,3851.0,226.52941176470588
2020,Q2,Assam,781019,17,2587.0,152.1764705882353
2020,Q2,Assam,786171,16,2911.0,181.9375
2020,Q3,Assam,781032,84,19733.0,234.91666666666666
2020,Q3,Assam,781022,44,13672.0,310.72727272727275
2020,Q3,Assam,781001,42,11968.0,284.95238095238096
2020,Q3,Assam,781005,41,10227.0,249.4390243902439
2020,Q3,Assam,781038,41,11250.0,274.390243902439
2020,Q3,Assam,783380,40,11182.0,279.55
2020,Q3,Assam,781007,38,13564.0,356.94736842105266
2020,Q3,Assam,781028,34,7155.0,210.44117647058823
2020,Q3,Assam,781020,33,8122.0,246.12121212121212
2020,Q3,Assam,781018,29,8620.0,297.2413793103448
2020,Q4,Assam,781032,57,43429.0,761.9122807017544
2020,Q4,Assam,781022,55,38700.0,703.6363636363636
2020,Q4,Assam,781011,32,14866.0,464.5625
2020,Q4,Assam,781007,30,37778.0,1259.2666666666667
2020,Q4,Assam,781028,27,33443.0,1238.6296296296296
2020,Q4,Assam,783380,27,16998.0,629.5555555555555
2020,Q4,Assam,781019,27,33793.0,1251.5925925925926
2020,Q4,Assam,781038,26,17089.0,657.2692307692307
2020,Q4,Assam,782002,26,9959.0,383.03846153846155
2020,Q4,Assam,781012,25,16120.0,644.8
2021,Q1,Assam,781022,81,81773.0,1009.5432098765432
2021,Q1,Assam,781032,75,35239.0,469.85333333333335
2021,Q1,Assam,781005,51,17477.0,342.6862745098039
2021,Q1,Assam,781007,46,19477.0,423.4130434782609
2021,Q1,Assam,781001,45,32800.0,728.8888888888889
2021,Q1,Assam,781028,44,26978.0,613.1363636363636
2021,Q1,Assam,781038,43,31376.0,729.6744186046511
2021,Q1,Assam,781011,43,26167.0,608.5348837209302
2021,Q1,Assam,781012,38,20493.0,539.2894736842105
2021,Q1,Assam,781019,38,22436.0,590.421052631579
2021,Q2,Assam,781032,79,47103.0,596.2405063291139
2021,Q2,Assam,781022,69,82110.0,1190.0
2021,Q2,Assam,781038,56,43392.0,774.8571428571429
2021,Q2,Assam,781019,48,34608.0,721.0
2021,Q2,Assam,781011,42,43869.0,1044.5
2021,Q2,Assam,781012,36,34326.0,953.5
2021,Q2,Assam,781020,35,22080.0,630.8571428571429
2021,Q2,Assam,783380,35,24002.0,685.7714285714286
2021,Q2,Assam,781005,33,30286.0,917.7575757575758
2021,Q2,Assam,781021,32,29627.0,925.84375
2021,Q3,Assam,781032,121,117986.0,975.0909090909091
2021,Q3,Assam,781022,77,105026.0,1363.974025974026
2021,Q3,Assam,781038,67,60578.0,904.1492537313433
2021,Q3,Assam,781001,61,46338.0,759.639344262295
2021,Q3,Assam,781011,60,40685.0,678.0833333333334
2021,Q3,Assam,781028,59,55210.0,935.7627118644068
2021,Q3,Assam,781025,59,60274.0,1021.5932203389831
2021,Q3,Assam,783380,56,54776.0,978.1428571428571
2021,Q3,Assam,781005,55,42333.0,769.6909090909091
2021,Q3,Assam,786003,46,54906.0,1193.608695652174
2021,Q4,Assam,781032,166,209584.0,1262.55421686747
2021,Q4,Assam,781022,162,206024.0,1271.7530864197531
2021,Q4,Assam,781001,131,145595.0,1111.4122137404581
2021,Q4,Assam,781038,131,151289.0,1154.8778625954199
2021,Q4,Assam,782462,125,269242.0,2153.936
2021,Q4,Assam,781028,97,117670.0,1213.0927835051546
2021,Q4,Assam,783380,95,161876.0,1703.957894736842
2021,Q4,Assam,781011,90,111638.0,1240.4222222222222
2021,Q4,Assam,781025,87,109884.0,1263.0344827586207
2021,Q4,Assam,781317,83,119272.0,1437.012048192771
2022,Q1,Assam,781032,277,421464.0,1521.5306859205775
2022,Q1,Assam,781022,249,325730.0,1308.1526104417671
2022,Q1,Assam,781038,223,292856.0,1313.2556053811659
2022,Q1,Assam,785001,206,296160.0,1437.6699029126214
2022,Q1,Assam,781001,181,198810.0,1098.3977900552486
2022,Q1,Assam,781028,167,204680.0,1225.62874251497
2022,Q1,Assam,781025,153,229632.0,1500.862745098039
2022,Q1,Assam,781011,152,223616.0,1471.157894736842
2022,Q1,Assam,786001,151,170998.0,1132.4370860927152
2022,Q1,Assam,781017,145,198245.0,1367.2068965517242
2022,Q2,Assam,781022,181,236099.0,1304.414364640884
2022,Q2,Assam,781032,167,208988.0,1251.4251497005987
2022,Q2,Assam,781028,135,255489.0,1892.5111111111112
2022,Q2,Assam,781011,129,190583.0,1477.3875968992247
2022,Q2,Assam,781001,129,178912.0,1386.9147286821706
2022,Q2,Assam,783370,127,107047.0,842.8897637795276
2022,Q2,Assam,781038,115,152833.0,1328.982608695652
2022,Q2,Assam,786001,105,109806.0,1045.7714285714285
2022,Q2,Assam,781017,92,135360.0,1471.304347826087
2022,Q2,Assam,781019,89,85390.0,959.438202247191
2022,Q3,Assam,781032,288,333196.0,1156.9305555555557
2022,Q3,Assam,781022,215,254861.0,1185.4
2022,Q3,Assam,781001,198,216933.0,1095.621212121212
2022,Q3,Assam,781038,195,280021.0,1436.0051282051281
2022,Q3,Assam,781011,189,227691.0,1204.7142857142858
2022,Q3,Assam,781028,155,197269.0,1272.7032258064517
2022,Q3,Assam,786001,153,203013.0,1326.8823529411766
2022,Q3,Assam,781012,147,213250.0,1450.6802721088436
2022,Q3,Assam,786003,139,189690.0,1364.6762589928057
2022,Q3,Assam,783380,137,250499.0,1828.4598540145985
2022,Q4,Assam,781032,386,453000.0,1173.5751295336788
2022,Q4,Assam,781022,373,505459.0,1355.1179624664878
2022,Q4,Assam,781038,347,406810.0,1172.3631123919308
2022,Q4,Assam,781001,296,317894.0,1073.9662162162163
2022,Q4,Assam,781028,291,353306.0,1214.109965635739
2022,Q4,Assam,781011,279,326354.0,1169.7275985663082
2022,Q4,Assam,781025,273,293127.0,1073.7252747252746
2022,Q4,Assam,786001,220,308313.0,1401.4227272727273
2022,Q4,Assam,781019,219,249614.0,1139.7899543378996
2022,Q4,Assam,786003,213,302699.0,1421.1220657276995
2023,Q1,Assam,781022,390,583421.0,1495.951282051282
2023,Q1,Assam,781032,390,519186.0,1331.246153846154
2023,Q1,Assam,781038,314,420735.0,1339.9203821656051
2023,Q1,Assam,781028,287,380465.0,1325.6620209059233
2023,Q1,Assam,781001,271,371714.0,1371.638376383764
2023,Q1,Assam,781025,263,272960.0,1037.87072243346
2023,Q1,Assam,781011,251,390399.0,1555.3745019920318
2023,Q1,Assam,785001,249,357351.0,1435.144578313253
2023,Q1,Assam,781019,220,279250.0,1269.3181818181818
2023,Q1,Assam,786003,216,302332.0,1399.6851851851852
2023,Q2,Assam,781022,315,523785.0,1662.8095238095239
2023,Q2,Assam,781032,285,451697.0,1584.901754385965
2023,Q2,Assam,781001,213,267048.0,1253.7464788732395
2023,Q2,Assam,781038,210,416205.0,1981.9285714285713
2023,Q2,Assam,786001,198,264286.0,1334.7777777777778
2023,Q2,Assam,781028,189,342060.0,1809.8412698412699
2023,Q2,Assam,782003,187,372489.0,1991.9197860962568
2023,Q2,Assam,786003,167,297383.0,1780.7365269461077
2023,Q2,Assam,783380,157,244644.0,1558.2420382165606
2023,Q2,Assam,781017,156,239237.0,1533.570512820513
2023,Q3,Assam,781032,345,438318.0,1270.486956521739
2023,Q3,Assam,781038,316,501522.0,1587.0949367088608
2023,Q3,Assam,781001,312,327784.0,1050.5897435897436
2023,Q3,Assam,781022,306,457519.0,1495.1601307189542
2023,Q3,Assam,786001,225,283791.0,1261.2933333333333
2023,Q3,Assam,781025,225,250518.0,1113.4133333333334
2023,Q3,Assam,782435,219,299590.0,1367.9908675799086
2023,Q3,Assam,786003,216,357624.0,1655.6666666666667
2023,Q3,Assam,781317,207,295109.0,1425.647342995169
2023,Q3,Assam,783380,200,282704.0,1413.52
2023,Q4,Assam,781032,366,494519.0,1351.1448087431695
2023,Q4,Assam,781022,364,589483.0,1619.4587912087911
2023,Q4,Assam,781038,293,452627.0,1544.8020477815699
2023,Q4,Assam,785001,286,437885.0,1531.0664335664335
2023,Q4,Assam,781011,267,426412.0,1597.0486891385767
