Year,Quarter,State,District,Count,Amount,Average Transaction
2023,Q2,Arunachal Pradesh,Tawang,339605,1003663723.0,2955.385589140325
2023,Q2,Arunachal Pradesh,Lower Dibang Valley,320847,641502543.0,1999.4032763279695
2023,Q3,Arunachal Pradesh,Papum Pare,5410471,7595971259.0,1403.9390025378566
2023,Q3,Arunachal Pradesh,West Kameng,1036743,1923965574.0,1855.7786973242164
2023,Q3,Arunachal Pradesh,East Siang,810283,1247686937.0,1539.8162580234314
2023,Q3,Arunachal Pradesh,Changlang,712587,1216076703.0,1706.5659393168835
2023,Q3,Arunachal Pradesh,Lohit,700473,1048609233.0,1497.001644603004
2023,Q3,Arunachal Pradesh,West Siang,554407,1037211224.0,1870.8479943435057
2023,Q3,Arunachal Pradesh,Lower Subansiri,482224,818756305.0,1697.875479030492
2023,Q3,Arunachal Pradesh,Namsai,477310,654108287.0,1370.40557918334
2023,Q3,Arunachal Pradesh,Tawang,423923,1199412955.0,2829.3179539680555
2023,Q3,Arunachal Pradesh,Lower Dibang Valley,389175,628025556.0,1613.7356099441126
2023,Q4,Arunachal Pradesh,Papum Pare,5938599,8374060439.0,1410.1070705397015
2023,Q4,Arunachal Pradesh,West Kameng,1195192,2162840497.0,1809.6176154124191
2023,Q4,Arunachal Pradesh,East Siang,931589,1416674919.0,1520.7080794212898
2023,Q4,Arunachal Pradesh,Changlang,806945,1430052570.0,1772.1809664847046
2023,Q4,Arunachal Pradesh,Lohit,779252,1192879539.0,1530.8007409669785
2023,Q4,Arunachal Pradesh,West Siang,687577,1262224512.0,1835.7573217254212
2023,Q4,Arunachal Pradesh,Lower Subansiri,559506,959863862.0,1715.5559761646882
2023,Q4,Arunachal Pradesh,Namsai,533600,769723768.0,1442.5108095952023
2023,Q4,Arunachal Pradesh,Tawang,509181,1297707130.0,2548.616562676141
2023,Q4,Arunachal Pradesh,Lower Dibang Valley,456242,780822119.0,1711.4209542304304
2018,Q1,Assam,Kamrup Metropolitan,194617,284766218.98487484,1463.2134858973
2018,Q1,Assam,Marigaon,79832,105067294.49868405,1316.1050017371988
2018,Q1,Assam,Barpeta,67801,56352302.37753609,831.1426435824853
2018,Q1,Assam,Nagaon,66695,56352631.291476294,844.9303739632101
2018,Q1,Assam,Cachar,56481,57250290.53047233,1013.6203418932442
2018,Q1,Assam,Sonitpur,51976,73005566.24909952,1404.6014747017762
2018,Q1,Assam,Kamrup,47859,41868129.255927615,874.8224838782176
2018,Q1,Assam,Dibrugarh,44792,53258765.86975427,1189.0240638898524
2018,Q1,Assam,Tinsukia,41237,45886201.02896822,1112.7434349969255
2018,Q1,Assam,Jorhat,33322,41164542.05596451,1235.3562828150923
