Year,Quarter,State,District,Count,Amount,Average Transaction
2022,Q4,Arunachal Pradesh,Lower Dibang Valley,23,56348.0,2449.913043478261
2022,Q4,Arunachal Pradesh,West Siang,22,42902.0,1950.090909090909
2022,Q4,Arunachal Pradesh,Tirap,22,69612.0,3164.181818181818
2023,Q1,Arunachal Pradesh,Papum Pare,214,609907.0,2850.032710280374
2023,Q1,Arunachal Pradesh,Changlang,58,150506.0,2594.9310344827586
2023,Q1,Arunachal Pradesh,West Kameng,58,148766.0,2564.9310344827586
2023,Q1,Arunachal Pradesh,East Siang,45,131785.0,2928.5555555555557
2023,Q1,Arunachal Pradesh,Tawang,43,177062.0,4117.720930232558
2023,Q1,Arunachal Pradesh,West Siang,26,77049.0,2963.423076923077
2023,Q1,Arunachal Pradesh,Lohit,22,48743.0,2215.590909090909
2023,Q1,Arunachal Pradesh,Tirap,20,42058.0,2102.9
2023,Q1,Arunachal Pradesh,Lower Subansiri,18,52453.0,2914.0555555555557
2023,Q1,Arunachal Pradesh,Lower Dibang Valley,17,32562.0,1915.4117647058824
2023,Q2,Arunachal Pradesh,Papum Pare,261,767297.0,2939.8352490421457
2023,Q2,Arunachal Pradesh,West Kameng,87,278705.0,3203.5057471264367
2023,Q2,Arunachal Pradesh,East Siang,49,134410.0,2743.061224489796
2023,Q2,Arunachal Pradesh,Changlang,48,182270.0,3797.2916666666665
2023,Q2,Arunachal Pradesh,Namsai,34,96483.0,2837.735294117647
2023,Q2,Arunachal Pradesh,Tawang,31,117759.0,3798.6774193548385
2023,Q2,Arunachal Pradesh,Lohit,29,65934.0,2273.5862068965516
2023,Q2,Arunachal Pradesh,Lower Dibang Valley,29,51944.0,1791.1724137931035
2023,Q2,Arunachal Pradesh,West Siang,27,85810.0,3178.1481481481483
2023,Q2,Arunachal Pradesh,Tirap,21,70549.0,3359.4761904761904
2023,Q3,Arunachal Pradesh,Papum Pare,285,696186.0,2442.757894736842
2023,Q3,Arunachal Pradesh,West Kameng,65,185636.0,2855.9384615384615
2023,Q3,Arunachal Pradesh,East Siang,59,113780.0,1928.4745762711864
2023,Q3,Arunachal Pradesh,Changlang,44,108703.0,2470.5227272727275
2023,Q3,Arunachal Pradesh,Tawang,39,129855.0,3329.6153846153848
2023,Q3,Arunachal Pradesh,Lower Dibang Valley,39,140365.0,3599.102564102564
2023,Q3,Arunachal Pradesh,Tirap,38,135660.0,3570.0
2023,Q3,Arunachal Pradesh,Namsai,34,55710.0,1638.5294117647059
2023,Q3,Arunachal Pradesh,Lohit,29,102043.0,3518.7241379310344
2023,Q3,Arunachal Pradesh,West Siang,23,92531.0,4023.086956521739
2023,Q4,Arunachal Pradesh,Papum Pare,318,852980.0,2682.327044025157
2023,Q4,Arunachal Pradesh,West Kameng,67,190405.0,2841.865671641791
2023,Q4,Arunachal Pradesh,Namsai,49,120567.0,2460.5510204081634
2023,Q4,Arunachal Pradesh,West Siang,48,119227.0,2483.8958333333335
2023,Q4,Arunachal Pradesh,Changlang,47,94883.0,2018.787234042553
2023,Q4,Arunachal Pradesh,Tawang,45,167579.0,3723.9777777777776
2023,Q4,Arunachal Pradesh,East Siang,42,109484.0,2606.7619047619046
2023,Q4,Arunachal Pradesh,Lower Dibang Valley,35,81825.0,2337.8571428571427
2023,Q4,Arunachal Pradesh,Lohit,34,77356.0,2275.176470588235
2023,Q4,Arunachal Pradesh,Tirap,32,74981.0,2343.15625
2020,Q2,Assam,Kamrup Metropolitan,388,73071.0,188.32731958762886
2020,Q2,Assam,Nagaon,52,11413.0,219.48076923076923
2020,Q2,Assam,Sonitpur,46,10879.0,236.5
2020,Q2,Assam,Tinsukia,41,8863.0,216.17073170731706
2020,Q2,Assam,Dibrugarh,40,8918.0,222.95
2020,Q2,Assam,Lakhimpur,34,7772.0,228.58823529411765
2020,Q2,Assam,Cachar,31,6886.0,222.1290322580645
2020,Q2,Assam,Bongaigaon,30,6850.0,228.33333333333334
2020,Q2,Assam,Karimganj,27,6710.0,248.5185185185185
2020,Q2,Assam,Golaghat,25,5694.0,227.76
2020,Q3,Assam,Kamrup Metropolitan,698,186125.0,266.6547277936963
2020,Q3,Assam,Nagaon,111,29094.0,262.1081081081081
2020,Q3,Assam,Kamrup,100,27927.0,279.27
2020,Q3,Assam,Cachar,98,28618.0,292.0204081632653
2020,Q3,Assam,Barpeta,98,22486.0,229.44897959183675
2020,Q3,Assam,Dibrugarh,95,28716.0,302.2736842105263
2020,Q3,Assam,Sonitpur,88,26070.0,296.25
2020,Q3,Assam,Tinsukia,82,25873.0,315.5243902439024
2020,Q3,Assam,Bongaigaon,72,20029.0,278.18055555555554
2020,Q3,Assam,Jorhat,62,19518.0,314.80645161290323
2020,Q4,Assam,Kamrup Metropolitan,626,534531.0,853.8833865814696
2020,Q4,Assam,Nagaon,147,104375.0,710.0340136054422
2020,Q4,Assam,Barpeta,121,89658.0,740.9752066115702
2020,Q4,Assam,Tinsukia,121,110036.0,909.3884297520661
2020,Q4,Assam,Kamrup,110,73472.0,667.9272727272727
2020,Q4,Assam,Sonitpur,101,76365.0,756.0891089108911
2020,Q4,Assam,Dibrugarh,97,85549.0,881.9484536082474
2020,Q4,Assam,Cachar,91,63874.0,701.9120879120879
2020,Q4,Assam,Jorhat,82,61112.0,745.2682926829268
2020,Q4,Assam,Bongaigaon,69,45817.0,664.0144927536232
2021,Q1,Assam,Kamrup Metropolitan,909,638404.0,702.3146314631463
2021,Q1,Assam,Sonitpur,162,151386.0,934.4814814814815
